Metric_Code,Base Year,Value
MLCON000006779,2005,3.5222E+11
MLCON000006780,2005,3.4413E+11
MLCON000006781,2005,3.38764E+11
MLCON000006782,2005,3.33947E+11
MLCON000006783,2005,3.4816E+11
MLCON000006784,2005,3.40324E+11
MLCON000006785,2005,3.49557E+11
MLCON000006786,2005,3.30553E+11
MLCON000006787,2005,3.09091E+11
MLCON000006788,2005,2.97282E+11
MLCON000006789,2005,2.80173E+11
MLCON000006790,2005,2.64363E+11
MLCON000006791,2005,2.62991E+11
MLCON000006792,2005,2.53997E+11
MLCON000006793,2005,2.58526E+11
MLCON000006796,2005,1.67632E+12
MLCON000006798,2005,1.64767E+12
MLCON000006800,2005,1.6107E+12
MLCON000006802,2005,1.58546E+12
MLCON000006804,2005,1.54634E+12
MLCON000006806,2005,1.51179E+12
MLCON000006808,2005,1.47951E+12
MLCON000006810,2005,1.43899E+12
MLCON000006812,2005,1.41238E+12
MLCON000006814,2005,1.36828E+12
MLCON000006816,2005,1.34986E+12
MLCON000006818,2005,1.32454E+12
MLCON000006820,2005,1.27024E+12
MLCON000006822,2005,1.22135E+12
MLCON000006824,2005,1.17904E+12
MLCON000006826,2005,1.13251E+12
MLCON000006828,2005,1.10408E+12
MLCON000006830,2005,1.0714E+12
MLCON000006832,2005,1.04331E+12
MLCON000006834,2005,1.00778E+12
MLCON000006836,2005,9.73182E+11
MLCON000006838,2005,9.44394E+11
MLCON000006840,2005,9.16305E+11
MLCON000006842,2005,8.70465E+11
MLCON000008529,2005,1.6869E+13
MLCON000008530,2005,1.62639E+13
MLCON000008531,2005,1.5629E+13
MLCON000008532,2005,1.50933E+13
MLCON000008533,2005,1.44229E+13
MLCON000008534,2005,1.36514E+13
MLCON000008535,2005,1.28927E+13
MLCON000008536,2005,1.22317E+13
MLCON000008537,2005,1.17001E+13
MLCON000008538,2005,1.12362E+13
MLCON000008539,2005,1.08643E+13
MLCON000008540,2005,1.06306E+13
MLCON000008541,2005,1.02722E+13
MLCON000008542,2005,9.7922E+12
MLCON000008543,2005,9.46493E+12
MLCON000009222,2005,15007609000
MLCON000009224,2005,15353907906
MLCON000009226,2005,16222925901
MLCON000009228,2005,16619173087
MLCON000009230,2005,16575923961
MLCON000009232,2005,16348522955
MLCON000009234,2005,16689447390
MLCON000009236,2005,16106188499
MLCON000009238,2005,15354876540
MLCON000009240,2005,14691275128
MLCON000009242,2005,14144843185
MLCON000009244,2005,13551391434
MLCON000009707,2005,2.90428E+13
MLCON000009709,2005,2.76788E+13
MLCON000009711,2005,2.63372E+13
MLCON000009713,2005,2.52459E+13
MLCON000009715,2005,2.47024E+13
MLCON000009717,2005,2.37877E+13
MLCON000009719,2005,2.28299E+13
MLCON000009721,2005,2.23904E+13
MLCON000009723,2005,2.27249E+13
MLCON000009725,2005,2.23189E+13
MLCON000009727,2005,2.21716E+13
MLCON000009729,2005,2.37636E+13
MLCON000009731,2005,2.35148E+13
MLCON000009733,2005,2.3458E+13
MLCON000009735,2005,2.2549E+13
MLCON000009737,2005,2.16311E+13
MLCON000009739,2005,2.06358E+13
MLCON000009741,2005,1.9826E+13
MLCON000009743,2005,1.89286E+13
