Metric_Code,Base Year,Value,Value type,Metric name
MLCON000003645,2002,7.37E+12,Absolute,Exports of goods and services - Constant
MLCON000003646,2002,7.18E+12,Absolute,Exports of goods and services - Constant
MLCON000003647,2002,7.09E+12,Absolute,Exports of goods and services - Constant
MLCON000003648,2002,7.06E+12,Absolute,Exports of goods and services - Constant
MLCON000003649,2002,6.89E+12,Absolute,Exports of goods and services - Constant
MLCON000003650,2002,6.65E+12,Absolute,Exports of goods and services - Constant
MLCON000003651,2002,6.07E+12,Absolute,Exports of goods and services - Constant
MLCON000003652,2002,5.31E+12,Absolute,Exports of goods and services - Constant
MLCON000003653,2002,6.05E+12,Absolute,Exports of goods and services - Constant
MLCON000003654,2002,5.69E+12,Absolute,Exports of goods and services - Constant
MLCON000003655,2002,5.23E+12,Absolute,Exports of goods and services - Constant
MLCON000003656,2002,4.72E+12,Absolute,Exports of goods and services - Constant
MLCON000003657,2002,4.38E+12,Absolute,Exports of goods and services - Constant
MLCON000003658,2002,3.82E+12,Absolute,Exports of goods and services - Constant
MLCON000003659,2002,3.50E+12,Absolute,Exports of goods and services - Constant
MLCON000003660,2002,3.30E+12,Absolute,Exports of goods and services - Constant
MLCON000003661,2002,3.31E+12,Absolute,Exports of goods and services - Constant
MLCON000003662,2002,2.85E+12,Absolute,Exports of goods and services - Constant
MLCON000003663,2002,2.63E+12,Absolute,Exports of goods and services - Constant
MLCON000003664,2002,2.37E+12,Absolute,Exports of goods and services - Constant
MLCON000003665,2002,2.17E+12,Absolute,Exports of goods and services - Constant
MLCON000003666,2002,2.28E+12,Absolute,Exports of goods and services - Constant
MLCON000003667,2002,1.97E+12,Absolute,Exports of goods and services - Constant
MLCON000003668,2002,1.74E+12,Absolute,Exports of goods and services - Constant
MLCON000007623,2002,7.27E+12,Absolute,Exports of goods and services - Constant
MLCON000007624,2002,7.03E+12,Absolute,Exports of goods and services - Constant
MLCON000007625,2002,6.75E+12,Absolute,Exports of goods and services - Constant
MLCON000007626,2002,6.60E+12,Absolute,Exports of goods and services - Constant
MLCON000007627,2002,6.42E+12,Absolute,Exports of goods and services - Constant
MLCON000007628,2002,6.26E+12,Absolute,Exports of goods and services - Constant
MLCON000007629,2002,6.19E+12,Absolute,Exports of goods and services - Constant
MLCON000007630,2002,6.13E+12,Absolute,Exports of goods and services - Constant
MLCON000007631,2002,5.71E+12,Absolute,Exports of goods and services - Constant
MLCON000007632,2002,5.58E+12,Absolute,Exports of goods and services - Constant
MLCON000007633,2002,5.26E+12,Absolute,Exports of goods and services - Constant
MLCON000007634,2002,5.18E+12,Absolute,Exports of goods and services - Constant
MLCON000007635,2002,5.01E+12,Absolute,Exports of goods and services - Constant
